MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.116,Active Import Interval (kW),28-09-2024 10:00
10003448599,000000000023738688,0.154,Active Import Interval (kW),28-09-2024 09:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),28-09-2024 09:00
10003448599,000000000023738688,0.158,Active Import Interval (kW),28-09-2024 08:30
10003448599,000000000023738688,1.570,Active Import Interval (kW),28-09-2024 08:00
10003448599,000000000023738688,2.888,Active Import Interval (kW),28-09-2024 07:30
10003448599,000000000023738688,0.102,Active Import Interval (kW),28-09-2024 07:00
10003448599,000000000023738688,0.104,Active Import Interval (kW),28-09-2024 06:30
10003448599,000000000023738688,0.204,Active Import Interval (kW),28-09-2024 06:00
10003448599,000000000023738688,0.248,Active Import Interval (kW),28-09-2024 05:30
10003448599,000000000023738688,0.250,Active Import Interval (kW),28-09-2024 05:00
10003448599,000000000023738688,0.248,Active Import Interval (kW),28-09-2024 04:30
10003448599,000000000023738688,0.252,Active Import Interval (kW),28-09-2024 04:00
10003448599,000000000023738688,0.254,Active Import Interval (kW),28-09-2024 03:30
10003448599,000000000023738688,0.284,Active Import Interval (kW),28-09-2024 03:00
10003448599,000000000023738688,0.242,Active Import Interval (kW),28-09-2024 02:30
10003448599,000000000023738688,0.192,Active Import Interval (kW),28-09-2024 02:00
10003448599,000000000023738688,0.194,Active Import Interval (kW),28-09-2024 01:30
10003448599,000000000023738688,0.250,Active Import Interval (kW),28-09-2024 01:00
10003448599,000000000023738688,0.282,Active Import Interval (kW),28-09-2024 00:30
10003448599,000000000023738688,0.280,Active Import Interval (kW),28-09-2024 00:00
10003448599,000000000023738688,0.282,Active Import Interval (kW),27-09-2024 23:30
10003448599,000000000023738688,0.274,Active Import Interval (kW),27-09-2024 23:00
10003448599,000000000023738688,0.220,Active Import Interval (kW),27-09-2024 22:30
10003448599,000000000023738688,0.200,Active Import Interval (kW),27-09-2024 22:00
10003448599,000000000023738688,0.238,Active Import Interval (kW),27-09-2024 21:30
10003448599,000000000023738688,0.248,Active Import Interval (kW),27-09-2024 21:00
10003448599,000000000023738688,0.260,Active Import Interval (kW),27-09-2024 20:30
10003448599,000000000023738688,0.252,Active Import Interval (kW),27-09-2024 20:00
10003448599,000000000023738688,0.188,Active Import Interval (kW),27-09-2024 19:30
10003448599,000000000023738688,0.188,Active Import Interval (kW),27-09-2024 19:00
10003448599,000000000023738688,0.250,Active Import Interval (kW),27-09-2024 18:30
10003448599,000000000023738688,0.394,Active Import Interval (kW),27-09-2024 18:00
10003448599,000000000023738688,0.164,Active Import Interval (kW),27-09-2024 17:30
10003448599,000000000023738688,0.132,Active Import Interval (kW),27-09-2024 17:00
10003448599,000000000023738688,0.142,Active Import Interval (kW),27-09-2024 16:30
10003448599,000000000023738688,0.204,Active Import Interval (kW),27-09-2024 16:00
10003448599,000000000023738688,0.206,Active Import Interval (kW),27-09-2024 15:30
10003448599,000000000023738688,0.250,Active Import Interval (kW),27-09-2024 15:00
10003448599,000000000023738688,0.182,Active Import Interval (kW),27-09-2024 14:30
10003448599,000000000023738688,0.208,Active Import Interval (kW),27-09-2024 14:00
10003448599,000000000023738688,0.196,Active Import Interval (kW),27-09-2024 13:30
10003448599,000000000023738688,0.128,Active Import Interval (kW),27-09-2024 13:00
10003448599,000000000023738688,0.132,Active Import Interval (kW),27-09-2024 12:30
10003448599,000000000023738688,0.188,Active Import Interval (kW),27-09-2024 12:00
10003448599,000000000023738688,0.282,Active Import Interval (kW),27-09-2024 11:30
10003448599,000000000023738688,0.144,Active Import Interval (kW),27-09-2024 11:00
10003448599,000000000023738688,0.146,Active Import Interval (kW),27-09-2024 10:30
10003448599,000000000023738688,0.380,Active Import Interval (kW),27-09-2024 10:00
10003448599,000000000023738688,0.242,Active Import Interval (kW),27-09-2024 09:30
10003448599,000000000023738688,0.196,Active Import Interval (kW),27-09-2024 09:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),27-09-2024 08:30
10003448599,000000000023738688,1.630,Active Import Interval (kW),27-09-2024 08:00
10003448599,000000000023738688,2.828,Active Import Interval (kW),27-09-2024 07:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),27-09-2024 07:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),27-09-2024 06:30
10003448599,000000000023738688,0.098,Active Import Interval (kW),27-09-2024 06:00
10003448599,000000000023738688,0.098,Active Import Interval (kW),27-09-2024 05:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),27-09-2024 05:00
10003448599,000000000023738688,0.136,Active Import Interval (kW),27-09-2024 04:30
10003448599,000000000023738688,0.156,Active Import Interval (kW),27-09-2024 04:00
